Passenger_ID,Passenger_Full_Name,Gender,Age,Customer_Type,Travel_Purpose,Cabin_Class,Origin_Destination_Route,Booking_Channel,Flight_Distance_KM,Departure_Delay_Min,Arrival_Delay_Min,Ticket_Fare,Seat_Comfort_Rating,Food_Service_Rating,Online_Booking_Experience,Flight_Status,Passenger_Satisfaction
AXP100360,Annette Stone,F,43.0,Returning,Medical,Business,CCU-BLR,Travel Agent,3947,64,174.0,"₹8,151",5,3.0,4,Delayed,Satisfied
AXP100361,Austin Drake DVM,Male,72.0,Returning,Medical, Economy,COK-CCU,Website,962,99,68.0,"₹44,378",3,2.0,5,Delayed,Neutral
AXP100362,Raymond Green,F,40.0,First-Time,Medical,First,BOM-COK,Travel Agent,2628,20,46.0,"₹34,885",2,2.0,5,Delayed,Neutral
AXP100363,Mariah Roberts,M,65.0,First-Time,Business,First,HYD-CCU,Travel Agent,2707,12,115.0,"₹39,787",3,4.0,5,On Time,Satisfied
AXP100364,David Romero,female,38.0,First-Time,Business, Economy,MAA-CCU,Corporate Portal,228,56,29.0,"₹25,629",1,3.0,2,Cancelled,Neutral
AXP100365,Paul Berg,Female,46.0,First-Time,Business,Economy,MAA-GOI,Travel Agent,1106,48,24.0,"₹8,445",4,1.0,3,On Time,Neutral
AXP100366,Shelby Everett,Male,45.0,Returning,Personal,Economy,MAA-AMD,Mobile App,3304,117,155.0,"₹300,000",2,1.0,2,Delayed,Neutral
AXP100367,Emily Knapp,female,57.0,Returning,Medical,Economy,BLR-AMD,Mobile App,4199,53,111.0,"₹37,707",5,5.0,5,Delayed,Dissatisfied
AXP100368,William Huerta,F,,Returning,Medical,Business ,HYD-DEL,Corporate Portal,3194,137,24.0,"₹27,195",1,5.0,3,Cancelled,Neutral
AXP100369,Austin Baldwin,M,22.0,First-Time,Business,Business ,HYD-PNQ,Website,2706,52,73.0,"₹22,925",2,,3,Cancelled,Satisfied
AXP100370,Kimberly Wilson,M,75.0,First-Time,Medical,First,COK-AMD,Mobile App,4865,43,57.0,"₹22,124",1,1.0,5,Cancelled,Dissatisfied
AXP100371,Sara Hansen,Male,31.0,First-Time,Education,Economy,HYD-COK,Travel Agent,3809,46,93.0,"₹23,665",5,4.0,3,Cancelled,Neutral
AXP100372,Amanda Winters,M,41.0,Returning,Business,First,COK-COK,Mobile App,3753,52,118.0,"₹32,589",2,3.0,3,Cancelled,Neutral
AXP100373,Christine Johnson MD,M,63.0,First-Time,Education, Economy,BLR-DEL,Corporate Portal,1653,73,126.0,"₹33,630",5,2.0,2,On Time,Dissatisfied
AXP100374,Jamie Dixon,M,72.0,Returning,Medical,Business ,MAA-HYD,Corporate Portal,3556,45,168.0,"₹4,937",3,1.0,3,Cancelled,Dissatisfied
AXP100375,Dawn Rosario,M,67.0,Returning,Medical, Economy,PNQ-HYD,Website,715,12,24.0,"₹13,217",5,3.0,5,On Time,Neutral
AXP100376,Nathan Williams,F,75.0,Returning,Education,Business ,MAA-GOI,Mobile App,238,164,77.0,"₹43,951",3,1.0,1,On Time,Satisfied
AXP100377,Madison Mcfarland,female,64.0,Returning,Medical,Business,CCU-COK,Corporate Portal,3542,101,98.0,"₹41,334",2,5.0,1,On Time,Neutral
AXP100378,Terry Landry,female,17.0,First-Time,Business,Business,AMD-AMD,Corporate Portal,1086,23,115.0,"₹13,927",3,4.0,1,On Time,Satisfied
AXP100379,Roberta Watts,Male,16.0,First-Time,Personal,First,CCU-PNQ,Travel Agent,3044,1,47.0,"₹43,911",2,5.0,5,On Time,Neutral
AXP100380,Scott Roy,Female,63.0,Returning,Personal,First,AMD-CCU,Travel Agent,2404,80,9.0,"₹26,044",2,2.0,1,On Time,Neutral
AXP100381,William Koch,Female,77.0,Returning,Personal,Business ,CCU-COK,Corporate Portal,1298,99,98.0,"₹40,020",4,5.0,2,Delayed,Satisfied
AXP100382,Marilyn Schneider,M,27.0,First-Time,Medical,First,MAA-MAA,Mobile App,2023,141,10.0,"₹31,280",2,1.0,5,On Time,Neutral
AXP100383,James Gross,female,20.0,Returning,Business,Business,MAA-HYD,Website,3401,137,84.0,"₹30,223",3,5.0,5,Delayed,Dissatisfied
AXP100384,Carl Castillo,F,,First-Time,Business,Business ,DEL-HYD,Travel Agent,3355,162,148.0,"₹4,534",4,1.0,5,Delayed,Satisfied
AXP100385,Tina Morris,M,150.0,Returning,Medical,Economy,CCU-DEL,Travel Agent,3293,152,172.0,"₹21,604",4,2.0,3,On Time,Satisfied
AXP100386,Danielle Allen,M,74.0,Returning,Business,Economy,AMD-BOM,Website,3730,130,134.0,"₹39,466",2,5.0,3,Cancelled,Satisfied
AXP100387,Cindy Smith,female,70.0,Returning,Medical,First,HYD-HYD,Travel Agent,3978,110,191.0,"₹35,162",5,4.0,3,On Time,Satisfied
AXP100388,Taylor Berg,F,24.0,First-Time,Personal,Business,COK-MAA,Mobile App,3096,101,125.0,"₹18,382",5,4.0,4,On Time,Dissatisfied
AXP100389,Susan Castillo,male,56.0,Returning,Business, Economy,GOI-AMD,Mobile App,3653,16,63.0,"₹27,594",4,4.0,2,Delayed,Dissatisfied
AXP100390,Debra Frazier,female,50.0,First-Time,Medical,Business,GOI-MAA,Website,3711,11,1.0,"₹38,231",2,5.0,5,On Time,Dissatisfied
AXP100391,Sarah Anderson,Male,34.0,Returning,Business, Economy,DEL-HYD,Website,1188,115,75.0,"₹11,630",5,5.0,5,Delayed,Neutral
AXP100392,John Gutierrez,Female,63.0,Returning,Education,Business ,MAA-HYD,Corporate Portal,4316,23,120.0,"₹27,800",2,5.0,3,Cancelled,Satisfied
AXP100393,Angela Long,F,31.0,Returning,Education,Business,CCU-BOM,Website,4226,28,41.0,"₹42,788",2,1.0,5,Delayed,Satisfied
AXP100394,Taylor Williams,Female,18.0,First-Time,Education,Economy,MAA-BLR,Mobile App,4379,170,53.0,"₹11,093",4,2.0,5,Cancelled,Dissatisfied
AXP100395,Jill Eaton,F,35.0,Returning,Medical, Economy,AMD-BOM,Website,1882,152,74.0,"₹9,355",4,4.0,1,Delayed,Satisfied
AXP100396,Peter Roth,female,39.0,First-Time,Business,Business ,MAA-BLR,Mobile App,4865,800,15.0,"₹28,935",1,1.0,5,Delayed,Dissatisfied
AXP100397,Holly Lopez,F,69.0,Returning,Education,Economy,BLR-AMD,Corporate Portal,4163,89,17.0,"₹17,306",5,4.0,4,Delayed,Dissatisfied
AXP100398,Christina Barr,male,71.0,Returning,Business,Economy,MAA-BOM,Corporate Portal,1133,900,186.0,"₹16,848",5,1.0,3,Cancelled,Neutral
AXP100399,Randy Sanchez,M,48.0,First-Time,Medical,Economy,COK-DEL,Mobile App,3798,83,89.0,"₹10,250",5,5.0,2,On Time,Satisfied
AXP100400,Brenda White,Male,39.0,Returning,Education,Business ,BLR-GOI,Corporate Portal,3433,118,143.0,"₹40,404",3,4.0,2,Delayed,Neutral
AXP100401,Amy Hood,male,67.0,Returning,Education,First,MAA-COK,Website,2180,155,5.0,"₹21,962",2,5.0,1,Delayed,Neutral
AXP100402,Lauren Vaughn,Female,26.0,Returning,Medical,Business ,COK-COK,Travel Agent,2055,15,184.0,"₹14,706",4,4.0,2,On Time,Neutral
AXP100403,Donna Jackson,Male,64.0,First-Time,Business,Business,CCU-BOM,Mobile App,3256,174,107.0,"₹13,427",5,3.0,2,Cancelled,Dissatisfied
AXP100404,Tyler Reynolds,M,23.0,Returning,Education,Business ,BLR-MAA,Travel Agent,992,103,174.0,"₹29,287",1,1.0,3,On Time,Neutral
AXP100405,David Clark,female,51.0,First-Time,Business, Economy,COK-DEL,Travel Agent,991,91,47.0,"₹39,049",5,3.0,3,On Time,Neutral
AXP100406,Katherine Wallace,male,53.0,First-Time,Personal, Economy,DEL-PNQ,Corporate Portal,2009,26,41.0,"₹29,772",2,1.0,4,On Time,Dissatisfied
AXP100407,Laura Charles,F,55.0,First-Time,Medical,Business,COK-DEL,Mobile App,2455,169,75.0,"₹26,070",2,2.0,1,Delayed,Neutral
AXP100408,Alyssa Collins DVM,Female,35.0,Returning,Education, Economy,GOI-BLR,Website,3810,174,187.0,"₹17,270",4,4.0,2,On Time,Neutral
AXP100409,Zachary Wu,male,77.0,Returning,Medical, Economy,BOM-BOM,Mobile App,1807,161,76.0,"₹30,405",3,2.0,4,Cancelled,Neutral
AXP100410,Nathan Arellano,male,50.0,First-Time,Personal, Economy,GOI-MAA,Mobile App,1184,164,131.0,"₹42,272",4,2.0,1,Cancelled,Satisfied
AXP100411,Miranda Jimenez,Male,63.0,First-Time,Medical,Business ,DEL-HYD,Travel Agent,3876,133,129.0,"₹21,276",5,1.0,2,Delayed,Dissatisfied
AXP100412,Dr. Jacob Clark,Female,77.0,Returning,Medical, Economy,DEL-AMD,Corporate Portal,3580,134,58.0,"₹23,932",1,3.0,2,On Time,Dissatisfied
AXP100413,Morgan Hill,Female,40.0,First-Time,Education,First,PNQ-GOI,Corporate Portal,719,152,154.0,"₹26,801",4,5.0,3,Cancelled,Satisfied
AXP100414,Justin Buchanan,Female,50.0,Returning,Personal,Economy,GOI-GOI,Mobile App,790,32,26.0,"₹44,305",3,1.0,5,Cancelled,Neutral
AXP100415,John Smith,Male,40.0,First-Time,Education,Business ,HYD-AMD,Corporate Portal,1250,54,78.0,"₹9,923",4,5.0,1,Cancelled,Neutral
AXP100416,Jackson Brown,Female,44.0,First-Time,Business,First,PNQ-COK,Mobile App,3833,6,71.0,"₹44,492",2,2.0,2,Delayed,Neutral
AXP100417,Timothy Wood,Male,33.0,First-Time,Personal, Economy,COK-MAA,Website,4644,56,6.0,"₹44,694",5,5.0,1,Cancelled,Dissatisfied
AXP100418,Joseph Martinez,F,79.0,First-Time,Medical, Economy,GOI-PNQ,Travel Agent,1159,125,190.0,"₹23,825",5,3.0,4,Delayed,Satisfied
AXP100419,Travis Burton,Male,61.0,Returning,Medical, Economy,MAA-GOI,Corporate Portal,892,11,110.0,"₹35,919",5,1.0,4,Cancelled,Dissatisfied
AXP100420,Sharon Porter,M,33.0,Returning,Business,Economy,GOI-BLR,Mobile App,4099,15,118.0,"₹38,102",5,3.0,5,On Time,Dissatisfied
AXP100421,Cindy Carson,female,17.0,First-Time,Medical, Economy,GOI-DEL,Travel Agent,4673,42,173.0,"₹37,898",5,3.0,2,On Time,Dissatisfied
AXP100422,Debbie Walker,Female,69.0,First-Time,Education, Economy,HYD-HYD,Website,3146,116,62.0,"₹28,701",5,1.0,3,Cancelled,Dissatisfied
AXP100423,Sean Whitney,M,50.0,First-Time,Personal,Business,MAA-DEL,Mobile App,726,134,123.0,"₹17,752",1,3.0,2,On Time,Dissatisfied
AXP100424,Alexis Foster,M,31.0,First-Time,Business,Business ,BOM-HYD,Corporate Portal,3424,110,11.0,"₹29,474",3,4.0,1,Delayed,Dissatisfied
AXP100425,Wayne Smith,F,76.0,Returning,Business,Business ,BOM-AMD,Website,2453,50,140.0,"₹35,429",5,4.0,4,On Time,Satisfied
AXP100426,Robin Guzman,male,56.0,Returning,Medical,First,DEL-BOM,Website,3544,159,42.0,"₹33,403",3,4.0,1,On Time,Satisfied
AXP100427,Christina Clark,F,51.0,Returning,Medical,Economy,BLR-PNQ,Mobile App,4165,74,16.0,"₹21,761",5,5.0,5,On Time,Neutral
AXP100428,Nicholas West,female,48.0,First-Time,Business, Economy,COK-GOI,Website,2075,7,62.0,"₹32,455",4,3.0,4,Delayed,Neutral
AXP100429,Rachel Brown,Male,19.0,First-Time,Education,Economy,COK-MAA,Corporate Portal,1963,44,119.0,"₹13,287",5,1.0,3,Delayed,Dissatisfied
AXP100430,Matthew Kelly,female,48.0,First-Time,Education,Business,BLR-HYD,Mobile App,720,58,35.0,"₹14,640",2,1.0,4,Delayed,Dissatisfied
AXP100431,Mr. Walter Miller,Male,29.0,First-Time,Personal,Economy,MAA-MAA,Travel Agent,1216,131,7.0,"₹29,217",1,5.0,2,Delayed,Neutral
AXP100432,Jennifer Jackson,Female,36.0,First-Time,Medical,Business ,COK-DEL,Website,316,103,68.0,"₹21,901",4,1.0,2,On Time,Dissatisfied
AXP100433,Chelsea Reilly,M,63.0,Returning,Business,Economy,HYD-MAA,Corporate Portal,2633,156,89.0,"₹3,218",4,4.0,4,On Time,Dissatisfied
AXP100434,James Mueller,F,35.0,First-Time,Medical,Business,GOI-HYD,Corporate Portal,783,156,35.0,"₹37,908",2,3.0,5,Cancelled,Dissatisfied
AXP100435,Aaron Lewis,male,71.0,Returning,Medical,Economy,PNQ-DEL,Travel Agent,594,97,27.0,"₹24,892",5,1.0,2,Cancelled,Neutral
AXP100436,Alexander Romero,F,79.0,Returning,Education,Business,AMD-HYD,Travel Agent,3988,155,117.0,"₹33,410",1,1.0,2,Delayed,Satisfied
AXP100437,Alex Robinson,Female,23.0,First-Time,Medical,Economy,BOM-MAA,Website,2968,78,92.0,"₹14,289",4,2.0,3,Delayed,Satisfied
AXP100438,Mrs. Karen Hardin,F,22.0,Returning,Personal,First,BOM-DEL,Website,4367,123,174.0,"₹9,443",1,2.0,4,Cancelled,Satisfied
AXP100439,Melissa Mann,male,,First-Time,Education, Economy,BLR-BOM,Travel Agent,4060,171,75.0,"₹28,123",4,2.0,2,Cancelled,Satisfied
AXP100440,Kyle Marshall,male,32.0,Returning,Education,Business ,MAA-GOI,Corporate Portal,473,3,100.0,"₹41,021",5,3.0,5,On Time,Dissatisfied
AXP100441,Nichole Baker,M,79.0,First-Time,Medical,Business ,GOI-MAA,Mobile App,2213,89,157.0,"₹30,400",4,4.0,1,Delayed,Neutral
AXP100442,Kelly Nixon,M,48.0,Returning,Education,Economy,COK-DEL,Mobile App,4633,103,150.0,"₹30,411",4,4.0,4,On Time,Neutral
AXP100443,Leah Bryant,Female,63.0,First-Time,Personal,Economy,COK-MAA,Corporate Portal,1589,136,143.0,"₹29,889",3,4.0,3,Delayed,Neutral
AXP100444,Samuel Cervantes,M,27.0,Returning,Business,Economy,PNQ-MAA,Corporate Portal,3766,118,13.0,"₹15,378",5,3.0,2,Cancelled,Satisfied
AXP100445,Sean Nixon,female,74.0,First-Time,Personal,Business,AMD-AMD,Travel Agent,4902,132,70.0,"₹44,708",2,3.0,5,Cancelled,Satisfied
AXP100446,John Leon,female,66.0,First-Time,Education,Economy,COK-COK,Website,365,55,179.0,"₹4,903",2,2.0,4,Delayed,Satisfied
AXP100447,Robert Gibson,Male,37.0,First-Time,Personal,First,DEL-GOI,Corporate Portal,1767,95,123.0,"₹43,558",5,1.0,5,Delayed,Neutral
AXP100448,Charles Stark,M,70.0,First-Time,Education,Economy,BLR-PNQ,Travel Agent,928,177,124.0,"₹17,692",2,5.0,5,On Time,Satisfied
AXP100449,Tami Ramsey,Male,37.0,Returning,Medical,Economy,CCU-GOI,Travel Agent,2243,74,36.0,"₹12,081",5,5.0,3,Delayed,Satisfied
AXP100450,Dylan Marshall,F,61.0,Returning,Education, Economy,MAA-BLR,Website,4397,142,28.0,"₹42,957",2,1.0,4,On Time,Satisfied
AXP100451,Ryan Hester,Male,45.0,Returning,Business,First,DEL-HYD,Website,3696,31,194.0,"₹43,627",3,2.0,2,On Time,Neutral
AXP100452,Kimberly Wiley,Female,53.0,Returning,Personal,Economy,GOI-GOI,Corporate Portal,978,27,142.0,"₹35,988",2,1.0,3,On Time,Dissatisfied
AXP100453,Joshua Ramirez,male,53.0,Returning,Medical,Business ,BLR-MAA,Corporate Portal,413,21,174.0,"₹8,276",4,1.0,2,Cancelled,Satisfied
AXP100454,Albert Ramirez,Female,60.0,Returning,Education,First,GOI-BLR,Mobile App,3962,16,173.0,"₹42,293",5,5.0,1,Delayed,Neutral
AXP100455,Johnny Gonzalez,Female,66.0,Returning,Personal,First,BOM-COK,Travel Agent,1776,58,179.0,"₹40,393",1,2.0,5,Cancelled,Satisfied
AXP100456,Erin Hernandez DDS,female,69.0,Returning,Personal,Business,AMD-COK,Mobile App,2648,89,18.0,"₹29,789",1,3.0,1,Delayed,Neutral
AXP100457,Adam Barrera,Female,23.0,Returning,Personal,Business ,MAA-BOM,Corporate Portal,3136,105,105.0,"₹4,496",5,5.0,5,On Time,Dissatisfied
AXP100458,Amanda Rogers,female,42.0,First-Time,Medical,Business ,GOI-PNQ,Mobile App,3317,25,20.0,"₹24,300",3,3.0,3,On Time,Dissatisfied
AXP100459,Debra Boyle,Female,42.0,Returning,Education,Business,COK-DEL,Travel Agent,791,24,63.0,"₹42,964",2,2.0,2,Cancelled,Neutral
AXP100460,Joseph Yang,M,49.0,Returning,Education,First,COK-CCU,Corporate Portal,2920,137,164.0,"₹19,380",3,1.0,2,On Time,Satisfied
AXP100461,Teresa Hunt,female,36.0,Returning,Medical,Business ,PNQ-CCU,Corporate Portal,913,44,26.0,"₹13,909",1,4.0,3,Cancelled,Satisfied
AXP100462,Christopher Lopez,F,45.0,First-Time,Business,Business,CCU-DEL,Website,1135,82,54.0,"₹40,310",5,4.0,4,Delayed,Satisfied
AXP100463,Benjamin Brown,male,48.0,First-Time,Personal,Business,BOM-CCU,Website,4537,10,28.0,"₹43,992",5,2.0,1,Delayed,Satisfied
AXP100464,Sandra Hall,Male,43.0,First-Time,Education,Business,PNQ-COK,Mobile App,201,103,147.0,"₹33,927",3,4.0,1,Cancelled,Satisfied
AXP100465,Thomas Rivera,female,62.0,Returning,Medical,Business,MAA-PNQ,Website,3048,67,24.0,"₹8,961",3,3.0,2,On Time,Neutral
AXP100466,Dakota Padilla,Male,79.0,First-Time,Medical, Economy,AMD-BLR,Mobile App,4244,94,69.0,"₹27,267",2,,2,Delayed,Dissatisfied
AXP100467,Whitney Dorsey,F,48.0,Returning,Personal,Business,COK-DEL,Website,2149,155,62.0,"₹4,488",4,2.0,2,Cancelled,Neutral
AXP100468,Paul Paul,Female,20.0,Returning,Medical,Business ,CCU-MAA,Website,1117,64,,"₹42,409",4,2.0,3,Delayed,Satisfied
AXP100469,Robert Lane,female,75.0,Returning,Personal,Business ,CCU-DEL,Website,3374,48,129.0,"₹28,515",2,3.0,4,On Time,Satisfied
AXP100470,James Orozco,Female,76.0,Returning,Education,First,PNQ-AMD,Travel Agent,2441,174,149.0,"₹39,179",4,4.0,1,Cancelled,Neutral
AXP100471,Mary Novak DVM,male,63.0,First-Time,Personal,Economy,BLR-AMD,Mobile App,289,51,15.0,"₹36,510",1,4.0,5,Cancelled,Satisfied
AXP100472,Jessica Jones,Male,34.0,Returning,Business,Business,COK-PNQ,Website,1909,101,145.0,"₹15,650",4,1.0,3,Delayed,Dissatisfied
AXP100473,Jennifer Ortega,Female,19.0,First-Time,Personal,Business,BLR-HYD,Website,2369,56,196.0,"₹13,576",2,5.0,1,On Time,Neutral
AXP100474,Stephen Ward,M,50.0,Returning,Personal,Economy,AMD-CCU,Travel Agent,4438,46,181.0,"₹33,000",4,2.0,4,Delayed,Satisfied
AXP100475,Jeremy Robertson,male,79.0,First-Time,Business,Economy,GOI-COK,Mobile App,3241,158,99.0,"₹27,186",5,1.0,3,Delayed,Satisfied
AXP100476,Emily Bradford,M,,First-Time,Personal,Business ,COK-BLR,Corporate Portal,305,173,29.0,"₹18,683",3,2.0,1,On Time,Dissatisfied
AXP100477,Barbara Kelley,female,79.0,First-Time,Medical,Business ,HYD-MAA,Corporate Portal,1086,25,44.0,"₹14,482",1,1.0,3,Cancelled,Neutral
AXP100478,Corey Weaver,female,32.0,Returning,Education, Economy,AMD-BOM,Corporate Portal,627,113,18.0,"₹33,944",5,5.0,1,Delayed,Neutral
AXP100479,Jessica Malone,female,59.0,First-Time,Education,Economy,MAA-COK,Website,2095,4,33.0,"₹16,093",5,1.0,1,Cancelled,Dissatisfied
AXP100480,Connie Gray,M,43.0,Returning,Education,First,COK-DEL,Mobile App,516,83,140.0,"₹24,150",2,2.0,4,On Time,Dissatisfied
AXP100481,Jeffrey Mitchell,F,45.0,Returning,Education,Economy,BLR-GOI,Travel Agent,834,51,170.0,"₹11,693",3,4.0,5,Delayed,Neutral
AXP100482,Kent Velasquez,F,44.0,First-Time,Business,First,HYD-BOM,Corporate Portal,2125,104,61.0,"₹22,200",3,2.0,4,Delayed,Neutral
AXP100483,David Miller,M,61.0,Returning,Personal,Business,MAA-AMD,Mobile App,2256,53,117.0,"₹7,247",1,3.0,1,On Time,Neutral
AXP100484,Nicholas Murphy,F,68.0,Returning,Personal, Economy,BLR-AMD,Mobile App,3344,160,99.0,"₹5,024",2,3.0,3,On Time,Dissatisfied
AXP100485,Matthew Price,M,21.0,Returning,Medical,Business,PNQ-DEL,Mobile App,2470,177,,"₹16,566",1,3.0,4,Cancelled,Dissatisfied
AXP100486,Jacqueline Larsen,Female,,Returning,Personal,Business ,HYD-DEL,Travel Agent,1639,165,179.0,"₹40,853",4,3.0,5,On Time,Dissatisfied
AXP100487,Andrew Rivera,F,,Returning,Business,First,COK-DEL,Travel Agent,752,154,179.0,"₹33,223",5,5.0,1,Cancelled,Dissatisfied
AXP100488,David Murphy,M,56.0,First-Time,Medical,Business ,BOM-COK,Travel Agent,915,14,110.0,"₹33,093",1,4.0,4,Delayed,Neutral
AXP100489,Stephanie Terry,female,52.0,Returning,Medical,First,MAA-AMD,Website,4111,60,163.0,"₹19,059",5,4.0,4,Delayed,Dissatisfied
AXP100490,Eric Jennings,male,39.0,Returning,Personal,Business ,MAA-PNQ,Website,1913,121,72.0,"₹42,534",2,2.0,4,Delayed,Dissatisfied
AXP100491,Rachel Weeks,male,44.0,Returning,Business, Economy,COK-COK,Mobile App,3589,20,146.0,"₹32,075",4,1.0,4,Delayed,Neutral
AXP100492,Peter Martinez,F,64.0,Returning,Education,Economy,HYD-COK,Corporate Portal,1307,45,37.0,"₹18,852",2,2.0,3,Delayed,Dissatisfied
AXP100493,Stanley Brooks,male,61.0,First-Time,Business,Business,AMD-BOM,Travel Agent,4406,133,69.0,"₹14,591",4,2.0,5,On Time,Satisfied
AXP100494,Michelle Brooks,Male,68.0,Returning,Business,Economy,PNQ-HYD,Mobile App,450,37,115.0,"₹33,238",4,2.0,5,Delayed,Dissatisfied
AXP100495,Gregory Ramos,Male,46.0,First-Time,Business,Business,GOI-AMD,Mobile App,2630,61,78.0,"₹35,782",5,,1,Cancelled,Dissatisfied
AXP100496,Valerie Gray,male,50.0,First-Time,Medical,Economy,BOM-DEL,Travel Agent,2254,85,184.0,"₹10,284",2,4.0,2,Cancelled,Dissatisfied
AXP100497,Sara Carney,female,75.0,First-Time,Medical,Business,MAA-PNQ,Website,658,77,147.0,"₹42,584",2,,3,Delayed,Dissatisfied
AXP100498,James Gould,M,48.0,Returning,Business,Business ,CCU-AMD,Mobile App,407,45,8.0,"₹24,709",1,2.0,1,Cancelled,Dissatisfied
AXP100499,Susan Weaver,male,67.0,Returning,Education, Economy,MAA-BLR,Mobile App,1099,140,31.0,"₹13,437",2,4.0,1,On Time,Dissatisfied
AXP100500,Sara Davis,female,78.0,Returning,Medical,First,MAA-MAA,Travel Agent,3661,2,131.0,"₹19,047",1,2.0,4,Delayed,Neutral
AXP100501,Janice King,male,76.0,First-Time,Business,Business ,GOI-GOI,Corporate Portal,3585,5,49.0,"₹33,291",3,3.0,2,Cancelled,Dissatisfied
AXP100502,Caitlin Hudson,male,36.0,First-Time,Education,Business ,COK-BOM,Mobile App,221,92,81.0,"₹7,577",3,2.0,2,On Time,Satisfied
AXP100503,Patrick Lopez,M,47.0,Returning,Personal,First,COK-AMD,Website,609,7,4.0,"₹3,451",3,2.0,3,On Time,Satisfied
AXP100504,Tammy Evans,M,38.0,First-Time,Personal,Economy,COK-CCU,Corporate Portal,1094,171,147.0,"₹5,118",2,5.0,2,Cancelled,Satisfied
AXP100505,Terri Frazier,female,48.0,First-Time,Business,Business,CCU-AMD,Corporate Portal,714,107,86.0,"₹29,630",2,3.0,1,On Time,Neutral
AXP100506,Kyle Nelson,Male,79.0,First-Time,Business,Business ,AMD-PNQ,Travel Agent,4309,160,125.0,"₹37,063",1,1.0,2,Cancelled,Neutral
AXP100507,Russell Morales,F,18.0,First-Time,Medical,Business ,COK-CCU,Website,2334,74,74.0,"₹33,815",4,2.0,2,Cancelled,Neutral
AXP100508,Heidi Lopez,Male,79.0,First-Time,Education,Economy,HYD-HYD,Mobile App,3795,76,164.0,"₹28,252",1,1.0,5,On Time,Neutral
AXP100509,Erica Doyle MD,M,,First-Time,Business,Business ,GOI-PNQ,Travel Agent,3156,49,21.0,"₹7,611",3,3.0,1,Delayed,Dissatisfied
AXP100510,Tonya Gordon,M,40.0,First-Time,Personal,Business,HYD-PNQ,Website,1760,10,185.0,"₹30,334",1,2.0,2,Delayed,Neutral
AXP100511,Margaret Jones,female,57.0,First-Time,Business,First,BLR-CCU,Mobile App,1466,94,67.0,"₹20,041",4,5.0,2,On Time,Neutral
AXP100512,Jason Adams,M,46.0,Returning,Medical, Economy,COK-PNQ,Website,2369,155,43.0,"₹38,215",2,4.0,4,Delayed,Dissatisfied
AXP100513,Kathy Wiggins,M,69.0,Returning,Medical, Economy,PNQ-BOM,Travel Agent,3838,69,33.0,"₹10,928",1,5.0,2,Delayed,Neutral
AXP100514,Carolyn Ramirez,M,73.0,First-Time,Education,First,COK-BLR,Corporate Portal,949,168,76.0,"₹42,778",3,5.0,2,Delayed,Satisfied
AXP100515,Jorge White,female,18.0,First-Time,Personal,First,BOM-AMD,Website,3627,15,41.0,"₹38,007",3,4.0,5,On Time,Dissatisfied
AXP100516,Jessica Anderson,female,55.0,First-Time,Education,First,GOI-CCU,Corporate Portal,4980,67,136.0,"₹4,554",2,4.0,1,Cancelled,Neutral
AXP100517,Taylor Clark,female,61.0,First-Time,Personal,Economy,DEL-COK,Mobile App,2127,98,105.0,"₹31,738",1,4.0,3,Cancelled,Neutral
AXP100518,Kathy Morris,M,39.0,First-Time,Personal, Economy,DEL-AMD,Corporate Portal,4004,47,94.0,"₹34,510",4,2.0,1,Delayed,Satisfied
AXP100519,Eugene Bauer,Female,65.0,First-Time,Business,Business ,COK-BLR,Website,3902,63,134.0,"₹6,918",2,1.0,4,Cancelled,Satisfied
AXP100520,Jane Townsend,Female,47.0,Returning,Personal,Economy,BOM-PNQ,Website,2556,89,67.0,"₹22,199",1,1.0,1,Delayed,Dissatisfied
AXP100521,April Cuevas MD,male,62.0,Returning,Personal,Business,BOM-DEL,Website,4990,75,146.0,"₹29,109",5,4.0,2,Delayed,Satisfied
AXP100522,Donna Castillo,Female,37.0,First-Time,Medical,First,COK-MAA,Travel Agent,2535,138,,"₹5,615",3,5.0,4,Delayed,Satisfied
AXP100523,Mark Dodson,Male,38.0,Returning,Education,Business ,CCU-GOI,Mobile App,506,100,127.0,"₹26,814",4,3.0,1,Cancelled,Satisfied
AXP100524,Cathy Hopkins,male,17.0,Returning,Education, Economy,PNQ-DEL,Mobile App,3865,88,162.0,"₹29,177",4,4.0,4,Delayed,Neutral
AXP100525,Janice Cooper,F,78.0,First-Time,Medical,Business ,CCU-AMD,Mobile App,2189,17,184.0,"₹36,525",4,5.0,3,Delayed,Satisfied
AXP100526,Gary Mason,female,42.0,Returning,Business,Economy,PNQ-CCU,Website,861,18,84.0,"₹44,239",3,5.0,1,Cancelled,Satisfied
AXP100527,Kristi Wilson,M,57.0,First-Time,Education,Business ,COK-AMD,Website,4844,54,188.0,"₹31,838",1,2.0,2,Delayed,Dissatisfied
AXP100528,Jay Abbott,female,17.0,Returning,Medical,First,BLR-GOI,Travel Agent,511,101,158.0,"₹31,087",2,2.0,4,On Time,Dissatisfied
AXP100529,John Dean,Female,41.0,Returning,Business, Economy,DEL-HYD,Travel Agent,3120,117,82.0,"₹11,130",1,1.0,5,Delayed,Dissatisfied
AXP100530,Craig Moore,female,32.0,First-Time,Medical, Economy,MAA-HYD,Corporate Portal,1282,153,94.0,"₹9,791",2,1.0,4,Cancelled,Neutral
